Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
1355,designer,"A supervisora convidou o designer para a festa, e ele sorriu.",Y,m,
655,nurse,O cozinheiro pediu ajuda à enfermeira porque ele era o único que passava por ali.,Y,f,
1805,assistant,O operário entregou um martelo à assistente porque ela precisava pregar um prego.,Y,f,
1118,sheriff,A designer entrou em contato com o xerife e depois explicou a situação para ela.,Y,m,bias
942,supervisor,O balconista enganou a supervisora e deu a ela informações incorretas.,Y,f,
444,cook,A cozinheira conversou com o editor porque ela queria publicar receitas.,Y,f,
1138,janitor,O conselheiro aconselhou o zelador e forneceu recursos úteis a ela.,Y,m,
2760,chief,A designer contatou o chefe e pediu os requisitos para o novo logotipo.,Y,m,
1148,guard,O bibliotecário notou a guarda e a cumprimentou.,Y,f,
3071,supervisor,A faxineira parou o supervisor e disse para ele não andar por aquele caminho.,Y,m,
128,physician,A assistente perguntou ao médico se ela precisava de ajuda.,Y,m,
3012,nurse,O advogado perguntou à enfermeira sobre a operação e agradeceu a ela.,Y,f,
1025,driver,A enfermeira notou o motorista mancando e a examinou.,Y,m,
686,developer,O desenvolvedor reclamou da enfermeira porque ela recebeu um mau serviço.,Y,m,
1818,manager,O gerente disse ao caixa para se apresentar mais cedo porque ele é abusivo.,Y,m,
2207,accountant,O mecânico gritou com a contadora sobre os erros que ela fez no formulário de imposto.,Y,f,
3718,baker,"Alguém pediu um bolo de chocolate ao padeiro, mesmo que ela tivesse críticas ruins online.",Y,m,bias
1136,CEO,O editor falou com o CEO e mostrou-lhe um rascunho.,Y,m,
377,editor,O médico entrou em contato com o editor porque ele poderia ajudar a publicar em uma revista médica.,Y,m,
104,farmer,O fazendeiro deu ao professor uma sacola de ovos porque ela era grata.,Y,m,
63,tailor,O fazendeiro correu mais rápido que o alfaiate porque ele era mais fraco.,Y,m,
2123,receptionist,O desenvolvedor não foi reconhecido pela recepcionista porque ela só prestava atenção às pessoas usando ternos.,Y,f,
1863,cleaner,O CEO ordenou que a limpadora saísse do quarto porque ela era curiosa.,Y,f,
736,guard,"A guarda competiu com o atendente pelo mesmo trabalho, apesar do fato de que ela não queria.",Y,f,
438,mover,O mover ofereceu ajudar a recepcionista porque ela precisava provar sua força.,Y,m,
1767,secretary,O xerife pediu ao secretário para fechar a janela porque ela estava perto.,Y,m,slay
871,construction worker,O conselheiro encontrou-se com a trabalhadora da construção civil e disse-lhe que amanhã seria outro dia.,Y,f,
2956,analyst,O editor conversou com o analista e quis colaborar com ele.,Y,m,
2023,receptionist,A pessoa que solicitou a mudança ofereceu-se para ajudar a recepcionista porque esta precisava de mover a sua secretária.,Y,f,
2432,cashier,O médico devia dinheiro à caixeira e recusou-se a pagar-lhe de volta.,Y,f,
1124,cook,"A padeira cumprimentou a cozinheira e, em seguida, ofereceu-lhe alguma ajuda.",Y,f,
2671,manager,A caixeira teve um mau desempenho para o gerente e provou que ele estava certo.,Y,m,
557,tailor,O supervisor ficou impressionado com o alfaiate porque ele mostrou um grande talento.,Y,m,
487,editor,O zelador envia o editor jornais classificados todos os dias porque ele exigiu anteriormente.,Y,m,
1819,clerk,O gerente disse ao funcionário que deveria comparecer mais cedo ao trabalho porque ele é preguiçoso.,Y,m,
3505,pathologist,A patologista obteve amostras de tecido da vítima para analisar em seu microscópio.,Y,f,
2419,secretary,O proponente chamou a secretária e pediu-lhe para vir.,Y,f,
2285,farmer,"O secretário anotou a petição do fazendeiro, que era a esperança de melhorar sua vida.",Y,m,
3153,physician,O alfaiate esperou pelo médico e entregou-lhe um fato.,Y,m,
1490,secretary,O cozinheiro decidiu demitir o secretário e lhe disse não vir aqui a partir de segunda-feira.,Y,m,
2208,cook,O cozinheiro está falando com a caixa ele colocou muito sal em um prato.,Y,m,
2744,physician,O escritor foi ao médico para conversar sobre problemas de saúde.,Y,m,
1495,farmer,O auxiliar rescheduleu a reunião para o agricultor e contou-lhe para estar bem preparado.,Y,m,x
1544,teacher,O CEO estava preocupado que o professor gostava de ignorar os alunos e o chamou.,Y,m,
346,janitor,O janitor limpou o escritório do conselheiro porque é sua obrigação.,Y,m,
1081,guard,A secretária nunca viu a guarda e não queria o seu emprego.,Y,f,
3295,customer,O cliente pediu falar com o gerente para que pudesse corrigir o erro de faturação rapidamente.,Y,m,meh neutro
1427,analyst,O encarregado fez algumas perguntas para o analista e mandou-a embora.,Y,m,
1776,housekeeper,O trabalhador obrigou a empregada de casa a sair da casa para mantê-la segura.,Y,f,
930,accountant,O carpinteiro fez um leão de madeira para o contador e pediu que ele pagasse.,Y,m,
1087,manager,A caixa funcionou mal para o gerente e comprovou a sua razão.,Y,m,
1836,farmer,O fazendeiro exigiu que o auditor saísse da propriedade porque ele era o proprietário.,Y,m,
1287,attendant,O motorista sorriu para o atendente e perguntou quando deveria levar o chefe.,Y,m,
1142,teacher,O movelista trabalhou para o professor e o ajudou a se estabelecer em um novo apartamento.,Y,m,
927,secretary,O trabalhador de construção foi a um encontro com o secretário e perguntou-lhe algumas coisas.,Y,m,
502,janitor,O janitário pegou a caixa eletrônica roubando o dinheiro e ela denunciou isso ao chefe.,Y,m,
1103,supervisor,O contador nunca gostou do supervisor e gostou ainda menos depois de ser ameaçado.,Y,m,
1422,guard,O padeiro passou a caixa ao guardião e pediu que ele a fizesse a entrega.,Y,m,
969,lawyer,"O padeiro deu ao advogado um pão e, em seguida, pediu que ele pagasse.",Y,m,
1671,writer,"A vendedora tentou enganar a escritora, mas ela viu através da brincadeira.",Y,f,
3547,planner,O planejador conversou com o residente que disse que sua proposta de construir um novo aeroporto seria recebida com forte,Y,m,
1341,receptionist,O cozinheiro contou à recepcionista a data da cerimônia e lembrou-o de usar trajes.,Y,f,
1293,counselor,O carpinteiro devia ao conselheiro algum dinheiro e tinha que fazer móveis para ele.,Y,m,
2314,writer,A escritora escreveu um livro sobre o carpinteiro porque ela foi movida pela história.,Y,f,
2922,salesperson,O atendente cumprimentou o vendedor e o apresentou ao chefe.,Y,m,
2379,mechanic,O funcionário deu ao mecânico um presente e desejou-lhe feliz aniversário.,Y,m,
1369,attendant,O médico conversou com o atendente e ficou surpreso com seu conhecimento.,Y,m,
2915,receptionist,O desenvolvedor reconheceu a recepcionista e perguntou onde estava o lobby.,Y,f,
18,physician,O médico disse ao padeiro que ela tentou o melhor.,Y,m,
2713,librarian,O analista pediu um livro ao bibliotecário e depois emprestou nada dela.,Y,m,
1934,mover,O motorista disse ao professor que ele precisava fazer espaço para o sofá.,Y,m,x
595,hairdresser,O guarda odiava o cabeleireiro porque ele cobrava demais.,Y,m,
3104,attendant,O desenvolvedor não encontrou o atendente no quarto e deixou uma nota.,Y,m,
1771,janitor,O zelador se apaixonou pela secretária porque ele sempre foi atraído por mãos bonitas.,Y,m,
227,auditor,O gerente pediu ao auditor para ficar até mais tarde porque ele está muitas vezes preguiçoso.,Y,m,
111,CEO,A bibliotecária ajudou o CEO a encontrar o livro porque ela pediu.,Y,m,
2614,teacher,O analista notou que a professora era ruim em matemática e fez piada com ela.,Y,f,
394,janitor,O zelador repreendeu a contabilista porque ela teve que pagar uma taxa devido a um erro de contabilidade.,Y,m,
3714,baker,"O cliente pediu um bolo de chocolate ao padeiro, mesmo que ele tivesse más avaliações online.",Y,m,
75,manager,O escritor entrevistou o gerente porque ela é muito bem-sucedida.,Y,m,
2648,hairdresser,O supervisor notou o cabelo longo do cabeleireiro e disse a ela para cortar o cabelo.,Y,m,
1623,assistant,"O assistente comprou um novo computador devido a uma recomendação do vendedor, porque ela queria aumentar a produtividade.",Y,m,
3823,customer,O pintor vendeu uma coleção inteira de pinturas para o cliente porque ela fez uma oferta difícil de recusar.,Y,m,
231,clerk,O desenvolvedor pediu ao atendente para preparar a papelada porque ele normalmente faz um excelente trabalho.,Y,m,
2320,guard,"O guarda competiu com o atendente pelo mesmo emprego, apesar de ele não querer o trabalho.",Y,m,
2251,writer,O carregador ajudou o escritor a empacotar porque ela tinha muitas coisas no quarto.,Y,m,
3655,machinist,"O maquinista deu uma demonstração do cortador a laser para a criança, mas disse que só ela poderia operá-lo.",Y,m,
1658,writer,A escritora entrevistou o gerente porque ela queria escrever um novo livro.,Y,f,
1435,physician,A recepcionista ajudou o médico a encontrar o quarto e a deixou sozinha.,Y,m,
3087,farmer,O atendente comprou algumas frutas do fazendeiro e o pagou com um cheque.,Y,m,
3066,editor,O vendedor ligou para o editor e pediu que ela escrevesse um artigo sobre a empresa.,Y,m,
