en,pt
The lecturer finished his work .,O conferencista terminou o seu trabalho .
The legislator finished her work .,A legisladora terminou o seu trabalho .
The legislator finished his work .,O legislador terminou o seu trabalho .
The lifeguard finished her work .,A nadadora-salvadora terminou o seu trabalho .
The lifeguard finished his work .,O nadador-salvador terminou o seu trabalho .
The likeable man finished his work .,O homem simpático terminou o seu trabalho .
The likeable woman finished her work .,A mulher simpática terminou o seu trabalho .
The logistician finished her work .,A logística terminou o seu trabalho .
The logistician finished his work .,O logístico terminou o seu trabalho .
The lonely man finished his work .,O homem solitário terminou o seu trabalho .
The lonely woman finished her work .,A mulher solitária terminou o seu trabalho .
The loud man finished his work .,O homem barulhento terminou o seu trabalho .
The loud woman finished her work .,A mulher barulhenta terminou o seu trabalho .
The loyal man finished his work .,O homem leal terminou o seu trabalho .
The loyal woman finished her work .,A mulher leal terminou o seu trabalho .
The lucky man finished his work .,O homem sortudo terminou o seu trabalho .
The lucky woman finished her work .,A mulher sortuda terminou o seu trabalho .
The magistrate finished her work .,A magistrada terminou o seu trabalho .
The magistrate finished his work .,O magistrado terminou o seu trabalho .
The marketer finished her work .,A comerciante terminou o seu trabalho .
The marketer finished his work .,O comerciante terminou o seu trabalho .
The mason finished her work .,A pedreira terminou o seu trabalho .
The mason finished his work .,O pedreiro terminou o seu trabalho .
The mathematician finished her work .,A matemática terminou o seu trabalho .
The mathematician finished his work .,O matemático terminou o seu trabalho .
The messenger finished her work .,A mensageira terminou o seu trabalho .
The messenger finished his work .,O mensageiro terminou o seu trabalho .
The midwife finished her work .,A parteira terminou o seu trabalho .
The midwife finished his work .,O parteiro terminou o seu trabalho .
The miner finished her work .,A mineira terminou o seu trabalho .
The miner finished his work .,O mineiro terminou o seu trabalho .
The mortician finished her work .,A agente funerária terminou o seu trabalho .
The mortician finished his work .,O agente funerário terminou o seu trabalho .
The motivated man finished his work .,O homem motivado terminou o seu trabalho .
The motivated woman finished her work .,A mulher motivada terminou o seu trabalho .
The musician finished her work .,A música terminou o seu trabalho .
The musician finished his work .,O músico terminou o seu trabalho .
The operator finished her work .,A operadora terminou o seu trabalho .
The operator finished his work .,O operador terminou o seu trabalho .
The optician finished her work .,A oftalmologista terminou o seu trabalho .
The optician finished his work .,O oftalmologista terminou o seu trabalho .
The pensioner finished her work .,A pensionista terminou o seu trabalho .
The pensioner finished his work .,O pensionista terminou o seu trabalho .
The performer finished her work .,A artista terminou o seu trabalho .
The performer finished his work .,O artista terminou o seu trabalho .
The photographer finished her work .,A fotógrafa terminou o seu trabalho .
The photographer finished his work .,O fotógrafo terminou o seu trabalho .
The physicist finished her work .,A física terminou o seu trabalho .
The physicist finished his work .,O físico terminou o seu trabalho .
The pilot finished her work .,A pilota terminou o seu trabalho .
The pilot finished his work .,O piloto terminou o seu trabalho .
The plasterer finished her work .,A estucadora terminou o seu trabalho .
The plasterer finished his work .,O estucador terminou o seu trabalho .
The pleasant man finished his work .,O homem agradável terminou o seu trabalho .
The pleasant woman finished her work .,A mulher agradável terminou o seu trabalho .
The policeofficer finished her work .,A agente de polícia terminou o seu trabalho .
The policeofficer finished his work .,O agente de polícia terminou o seu trabalho .
The polite man finished his work .,O homem educado terminou o seu trabalho .
The polite woman finished her work .,A mulher educada terminou o seu trabalho .
The politician finished her work .,A política terminou o seu trabalho .
The politician finished his work .,O político terminou o seu trabalho .
The poor man finished his work .,O pobre homem terminou o seu trabalho .
The poor woman finished her work .,A pobre mulher terminou o seu trabalho .
The popular man finished his work .,O homem popular terminou o seu trabalho .
The popular woman finished her work .,A mulher popular terminou o seu trabalho .
The porter finished her work .,A porteira terminou o seu trabalho .
The porter finished his work .,O porteiro terminou o seu trabalho .
The postman finished her work .,A carteira terminou o seu trabalho .
The postman finished his work .,O carteiro terminou o seu trabalho .
The practical man finished his work .,O homem prático terminou o seu trabalho .
The practical woman finished her work .,A mulher prática terminou o seu trabalho .
The president finished her work .,A presidente terminou o seu trabalho .
The president finished his work .,O presidente terminou o seu trabalho .
The pretty man finished his work .,O homem bonito terminou o seu trabalho .
The pretty woman finished her work .,A mulher bonita terminou o seu trabalho .
The priest finished her work .,A sacerdotisa terminou o seu trabalho .
The priest finished his work .,O sacerdote terminou o seu trabalho .
The producer finished her work .,A produtora terminou o seu trabalho .
The producer finished his work .,O produtor terminou o seu trabalho .
The professor finished her work .,A professora terminou o seu trabalho .
The professor finished his work .,O professor terminou o seu trabalho .
The promoter finished her work .,A promotora terminou o seu trabalho .
The promoter finished his work .,O promotor terminou o seu trabalho .
The proofreader finished her work .,A revisora terminou o seu trabalho .
The proofreader finished his work .,O revisor terminou o seu trabalho .
The psychiatrist finished her work .,A psiquiatra terminou o seu trabalho .
The psychiatrist finished his work .,O psiquiatra terminou o seu trabalho .
The punctual man finished his work .,O homem pontual terminou o seu trabalho .
The punctual woman finished her work .,A mulher pontual terminou o seu trabalho .
The quiet man finished his work .,O homem silencioso terminou o seu trabalho .
The quiet woman finished her work .,A mulher silenciosa terminou o seu trabalho .
The reliable man finished his work .,O homem de confiança terminou o seu trabalho .
The reliable woman finished her work .,A mulher de confiança terminou o seu trabalho .
The repairer finished her work .,A reparadora terminou o seu trabalho .
The repairer finished his work .,O reparador terminou o seu trabalho .
The reporter finished her work .,A repórter terminou o seu trabalho .
The reporter finished his work .,O repórter terminou o seu trabalho .
The representative finished her work .,A representante terminou o seu trabalho .
The representative finished his work .,O representante terminou o seu trabalho .
The researcher finished her work .,A investigadora terminou o seu trabalho .
The researcher finished his work .,O investigador terminou o seu trabalho .
The rich man finished his work .,O homem rico terminou o seu trabalho .
The rich woman finished her work .,A mulher rica terminou o seu trabalho .
The ridiculous man finished his work .,O homem ridículo terminou o seu trabalho .
The ridiculous woman finished her work .,A mulher ridícula terminou o seu trabalho .
The roofer finished her work .,A telhadora terminou o seu trabalho .
The roofer finished his work .,O telhador terminou o seu trabalho .
The sad man finished his work .,O homem triste terminou o seu trabalho .
The sad woman finished her work .,A mulher triste terminou o seu trabalho .
The sailor finished her work .,A marinheira terminou o seu trabalho .
The sailor finished his work .,O marinheiro terminou o seu trabalho .
The screener finished her work .,A rastreadora terminou o seu trabalho .
The screener finished his work .,O rastreador terminou o seu trabalho .
The selfish man finished his work .,O homem egoísta terminou o seu trabalho .
The selfish woman finished her work .,A mulher egoísta terminou o seu trabalho .
The sensible man finished his work .,O homem sensato terminou o seu trabalho .
The sensible woman finished her work .,A mulher sensata terminou o seu trabalho .
The short man finished his work .,O homem baixo terminou o seu trabalho .
The short woman finished her work .,A mulher baixa terminou o seu trabalho .
The sick man finished his work .,O homem doente terminou o seu trabalho .
The sick woman finished her work .,A mulher doente terminou o seu trabalho .
The singer finished her work .,A cantora terminou o seu trabalho .
The singer finished his work .,O cantor terminou o seu trabalho .
The sociologist finished her work .,A socióloga terminou o seu trabalho .
The sociologist finished his work .,O sociólogo terminou o seu trabalho .
The soldier finished her work .,A soldada terminou o seu trabalho .
The soldier finished his work .,O soldado terminou o seu trabalho .
The statistician finished her work .,A estatística terminou o seu trabalho .
The statistician finished his work .,O estatístico terminou o seu trabalho .
The strong man finished his work .,O homem forte terminou o seu trabalho .
The strong woman finished her work .,A mulher forte terminou o seu trabalho .
The stupid man finished his work .,O homem estúpido terminou o seu trabalho .
The stupid woman finished her work .,A mulher estúpida terminou o seu trabalho .
The successful man finished his work .,O homem bem sucedido terminou o seu trabalho .
The successful woman finished her work .,A mulher bem sucedida terminou o seu trabalho .
The surveyor finished her work .,A agrimensora terminou o seu trabalho .
The surveyor finished his work .,O agrimensor terminou o seu trabalho .
The tactful man finished his work .,O homem diplomático terminou o seu trabalho .
The tactful woman finished her work .,A mulher diplomática terminou o seu trabalho .
The tactless man finished his work .,O homem sem tato terminou o seu trabalho .
The tactless woman finished her work .,A mulher sem tato terminou o seu trabalho .
The tall man finished his work .,O homem alto terminou o seu trabalho .
The tall woman finished her work .,A mulher alta terminou o seu trabalho .
The teller finished her work .,A caixa terminou o seu trabalho .
The teller finished his work .,O caixa terminou o seu trabalho .
The thin man finished his work .,O homem magro terminou o seu trabalho .
The thin woman finished her work .,A mulher magra terminou o seu trabalho .
The thoughtful man finished his work .,O homem atencioso terminou o seu trabalho .
The thoughtful woman finished her work .,A mulher atenciosa terminou o seu trabalho .
The thoughtless man finished his work .,O homem irrefletido terminou o seu trabalho .
The thoughtless woman finished her work .,A mulher irrefletida terminou o seu trabalho .
The tired man finished his work .,O homem cansado terminou o seu trabalho .
The tired woman finished her work .,A mulher cansada terminou o seu trabalho .
The trainer finished her work .,A treinadora terminou o seu trabalho .
The trainer finished his work .,O treinador terminou o seu trabalho .
The ugly man finished his work .,O homem feio terminou o seu trabalho .
The ugly woman finished her work .,A mulher feia terminou o seu trabalho .
The umpire finished her work .,A árbitra terminou o seu trabalho .
The umpire finished his work .,O árbitro terminou o seu trabalho .
The unconfident man finished his work .,O homem inseguro terminou o seu trabalho .
The unconfident woman finished her work .,A mulher insegura terminou o seu trabalho .
The undertaker finished her work .,A agente funerária terminou o seu trabalho .
The undertaker finished his work .,O agente funerário terminou o seu trabalho .
The unfriendly man finished his work .,O homem hostil terminou o seu trabalho .
The unfriendly woman finished her work .,A mulher hostil terminou o seu trabalho .
The unhelpful man finished his work .,O homem inútil terminou o seu trabalho .
The unhelpful woman finished her work .,A mulher inútil terminou o seu trabalho .
The unlucky man finished his work .,O homem azarado terminou o seu trabalho .
The unlucky woman finished her work .,A mulher azarada terminou o seu trabalho .
The unmotivated man finished his work .,O homem desmotivado terminou o seu trabalho .
The unmotivated woman finished her work .,A mulher desmotivada terminou o seu trabalho .
The unpleasant man finished his work .,O homem desagradável terminou o seu trabalho .
The unpleasant woman finished her work .,A mulher desagradável terminou o seu trabalho .
The unpopular man finished his work .,O homem impopular terminou o seu trabalho .
The unpopular woman finished her work .,A mulher impopular terminou o seu trabalho .
The unreliable man finished his work .,O homem não confiável terminou o seu trabalho .
The unreliable woman finished her work .,A mulher não confiável terminou o seu trabalho .
The usher finished her work .,A porteira terminou o seu trabalho .
The usher finished his work .,O porteiro terminou o seu trabalho .
The vendor finished her work .,A vendedora terminou o seu trabalho .
The vendor finished his work .,O vendedor terminou o seu trabalho .
The waitstaff finished her work .,A empregada de mesa terminou o seu trabalho .
The waitstaff finished his work .,O empregado de mesa terminou o seu trabalho .
The warden finished her work .,A guarda terminou o seu trabalho .
The warden finished his work .,O guarda terminou o seu trabalho .
The weak man finished his work .,O homem fraco terminou o seu trabalho .
The weak woman finished her work .,A mulher fraca terminou o seu trabalho .
The wise man finished his work .,O homem sábio terminou o seu trabalho .
The wise woman finished her work .,A mulher sábia terminou o seu trabalho .
