en,pt
the paralegal finished her work .,A paralegal terminou o seu trabalho.

the surgeon finished his work .,O cirurgião terminou o seu trabalho.

the surgeon finished her work .,A cirurgiã terminou o seu trabalho.

the reporter finished his work .,O repórter terminou o seu trabalho.

the reporter finished her work .,A repórter terminou o seu trabalho.

the horticulturalist finished his work .,O horticultor terminou o seu trabalho.

the horticulturalist finished her work .,A horticultora terminou o seu trabalho.

the pilot finished his work .,O piloto terminou o seu trabalho.

the pilot finished her work .,A pilota terminou o seu trabalho.

the performer finished his work .,O intérprete terminou o seu trabalho.

the performer finished her work .,A intérprete terminou o seu trabalho.

the judge finished his work .,O juiz terminou o seu trabalho.

the judge finished her work .,A juíza terminou o seu trabalho.

the conductor finished his work .,O maestro terminou o seu trabalho.

the conductor finished her work .,A maestrina terminou o seu trabalho.

the practitioner finished his work .,O praticante terminou o seu trabalho.

the practitioner finished her work .,A praticante terminou o seu trabalho.

the veterinarian finished his work .,O veterinário terminou o seu trabalho.

the veterinarian finished her work .,A veterinária terminou o seu trabalho.

the astronomer finished his work .,O astrónomo terminou o seu trabalho.

the astronomer finished her work .,A astrónoma terminou o seu trabalho.

the undertaker finished his work .,O agente funerário terminou o seu trabalho.

the undertaker finished her work .,A agente funerária terminou o seu trabalho.

the actuary finished his work .,O actuário terminou o seu trabalho.

the actuary finished her work .,A actuária terminou o seu trabalho.

the soldier finished his work .,O soldado terminou o seu trabalho.

the soldier finished her work .,A soldada terminou o seu trabalho.

the specialist finished his work .,O especialista terminou o seu trabalho.

the specialist finished her work .,A especialista terminou o seu trabalho.

the mathematician finished his work .,O matemático terminou o seu trabalho.

the mathematician finished her work .,A matemática terminou o seu trabalho.

the choreographer finished his work .,O coreógrafo terminou o seu trabalho.

the choreographer finished her work .,A coreógrafa terminou o seu trabalho.

the economist finished his work .,O economista terminou o seu trabalho.

the economist finished her work .,A economista terminou o seu trabalho.

the worker finished his work .,O trabalhador terminou o seu trabalho.

the worker finished her work .,A trabalhadora terminou o seu trabalho.

the collector finished his work .,O colecionador terminou o seu trabalho.

the collector finished her work .,A colecionadora terminou o seu trabalho.

the butcher finished his work .,O talhante terminou o seu trabalho.

the butcher finished her work .,A talhante terminou seu trabalho.

the hunter finished his work .,O caçador terminou o seu trabalho.

the hunter finished her work .,A caçadora terminou o seu trabalho.

the technician finished his work .,O técnico terminou o seu trabalho.

the technician finished her work .,A técnica terminou o seu trabalho.

the teacher finished his work .,O professor terminou o seu trabalho.

the teacher finished her work .,A professora terminou o seu trabalho.

the fisher finished his work .,O pescador terminou o seu trabalho.

the fisher finished her work .,A pescadora terminou o seu trabalho.

the director finished his work .,O diretor terminou o seu trabalho.

the director finished her work .,A diretora terminou o seu trabalho.

the aide finished his work .,O ajudante terminou o seu trabalho.

the aide finished her work .,A ajudante terminou o seu trabalho.

the breeder finished his work .,O criador terminou o seu trabalho.

the breeder finished her work .,A criadora terminou o seu trabalho.

the installer finished his work .,O instalador terminou o seu trabalho.

the installer finished her work .,A instaladora terminou o seu trabalho.

the pathologist finished his work .,O patologista terminou o seu trabalho.

the pathologist finished her work .,A patologista terminou o seu trabalho.

the manager finished his work .,O gerente terminou o seu trabalho.

the manager finished her work .,A gerente terminou seu trabalho.

the laborer finished his work .,O trabalhador terminou o seu trabalho.

the laborer finished her work .,A trabalhadora terminou o seu trabalho.

the salesperson finished his work .,O vendedor terminou o seu trabalho.

the salesperson finished her work .,A vendedora terminou o seu trabalho.

the bailiff finished his work .,A oficial de justiça terminou o seu trabalho.

the bailiff finished her work .,O oficial de justiça terminou o seu trabalho.

the baker finished his work .,O padeiro terminou o seu trabalho.

the baker finished her work .,A padeira terminou o seu trabalho.

the customer finished his work .,O cliente terminou o seu trabalho.

the customer finished her work .,A cliente terminou o seu trabalho.

the ceo finished his work .,O CEO terminou o seu trabalho.

the ceo finished her work .,A CEO terminou o seu trabalho.

the professor finished his work .,O professor terminou o seu trabalho.

the professor finished her work .,A professora terminou o seu trabalho.

the priest finished his work .,O sacerdote terminou o seu trabalho.

the priest finished her work .,A sacerdotisa terminou o seu trabalho.

the supervisor finished his work .,O supervisor terminou o seu trabalho.

the supervisor finished her work .,A supervisora terminou o seu trabalho.

the assessor finished his work .,O assessor terminou o seu trabalho.

the assessor finished her work .,A assessora terminou o seu trabalho.

the dancer finished his work .,O dançarino terminou o seu trabalho.

the dancer finished her work .,A dançarina terminou o seu trabalho.

the hygienist finished his work .,O higienista terminou o seu trabalho.

the hygienist finished her work .,A higienista terminou o seu trabalho.

the broker finished his work .,O corretor terminou o seu trabalho.

the broker finished her work .,A corretora terminou o seu trabalho.

the engineer finished his work .,O engenheiro terminou o seu trabalho.

the engineer finished her work .,A engenheira terminou o seu trabalho.

the archivist finished his work .,O arquivista terminou o seu trabalho.

the archivist finished her work .,A arquivista terminou o seu trabalho.

the messenger finished his work .,O mensageiro terminou o seu trabalho.

the messenger finished her work .,A mensageira terminou o seu trabalho.

the psychologist finished his work .,O psicólogo terminou o seu trabalho.

the psychologist finished her work .,A psicóloga terminou o seu trabalho.

the designer finished his work .,O designer terminou o seu trabalho.

the designer finished her work .,A designer terminou o seu trabalho.

the promoter finished his work .,O promotor terminou o seu trabalho.

the promoter finished her work .,A promotora terminou o seu trabalho.

the environmentalist finished his work .,O ambientalista terminou o seu trabalho.

the environmentalist finished her work .,A ambientalista terminou o seu trabalho.

the administrator finished his work .,O administrador terminou o seu trabalho.

the administrator finished her work .,A administradora terminou o seu trabalho.

the pharmacist finished his work .,O farmacêutico terminou o seu trabalho.

the pharmacist finished her work .,A farmacêutica terminou o seu trabalho.

the waitstaff finished his work .,O empregado terminou seu trabalho.

the waitstaff finished her work .,A empregada terminou seu trabalho.

the advisor finished his work .,O conselheiro terminou o seu trabalho.

the advisor finished her work .,A conselheira terminou o seu trabalho.

the surveyor finished his work .,O agrimensor terminou o seu trabalho.

the surveyor finished her work .,A agrimensora terminou o seu trabalho.

the jailer finished his work .,O carcereiro terminou o seu trabalho.

the jailer finished her work .,A carcereira terminou seu trabalho.

the janitor finished his work .,O contínuo terminou o seu trabalho.

the janitor finished her work .,A contínua terminou seu trabalho.

the dentist finished his work .,O dentista terminou o seu trabalho.

the dentist finished her work .,A dentista terminou o seu trabalho.

the statistician finished his work .,O estatístico terminou o seu trabalho.

the statistician finished her work .,A estatística terminou o seu trabalho.

the legislator finished his work .,O legislador terminou o seu trabalho.

the legislator finished her work .,A legisladora terminou o seu trabalho.

the researcher finished his work .,O investigador terminou o seu trabalho.

the researcher finished her work .,A investigadora terminou o seu trabalho.

the client finished his work .,O cliente terminou o seu trabalho.

the client finished her work .,A cliente terminou o seu trabalho.

the farmer finished his work .,O agricultor terminou o seu trabalho.

the farmer finished her work .,A agricultora terminou o seu trabalho.

the planner finished his work .,O planeador terminou seu trabalho.

the planner finished her work .,A planeadora terminou seu trabalho.

the warden finished his work .,O guarda terminou o seu trabalho.

the warden finished her work .,A guarda terminou o seu trabalho.

the appraiser finished his work .,O avaliador terminou o seu trabalho.

the appraiser finished her work .,A avaliadora terminou o seu trabalho.

the dispatcher finished his work .,O expedidor terminou o seu trabalho.

the dispatcher finished her work .,A expedidora terminou o seu trabalho.

the tailor finished his work .,O alfaiate terminou o seu trabalho.

the tailor finished her work .,A alfaiate terminou o seu trabalho.

the attendant finished his work .,O assistente terminou seu trabalho.

the attendant finished her work .,A assistente terminou seu trabalho.

the courier finished his work .,O estafeta terminou o seu trabalho.

the courier finished her work .,A estafeta terminou o seu trabalho.

the cartographer finished his work .,O cartógrafo terminou o seu trabalho.

the cartographer finished her work .,A cartógrafa terminou o seu trabalho.

the magistrate finished his work .,O magistrado terminou o seu trabalho.

the magistrate finished her work .,A magistrada terminou o seu trabalho.

the cleaner finished his work .,O empregado da limpeza terminou seu trabalho.

the cleaner finished her work .,A empregada da limpeza terminou seu trabalho.

the logistician finished his work .,O logístico terminou o seu trabalho.

the logistician finished her work .,A logística terminou o seu trabalho.

the pensioner finished his work .,O pensionista terminou o seu trabalho.

the pensioner finished her work .,A pensionista terminou o seu trabalho.

the grader finished his work .,O graduador terminou o seu trabalho.

the grader finished her work .,A graduadora terminou o seu trabalho.

the sailor finished his work .,O marinheiro terminou o seu trabalho.

the sailor finished her work .,A marinheira terminou o seu trabalho.

the teller finished his work .,A caixa terminou o seu trabalho.

the teller finished her work .,O caixa terminou o seu trabalho.

the scientist finished his work .,O cientista terminou o seu trabalho.

the scientist finished her work .,A cientista terminou o seu trabalho.

the therapist finished his work .,O terapeuta terminou o seu trabalho.

the therapist finished her work .,A terapeuta terminou o seu trabalho.

the vendor finished his work .,O vendedor terminou o seu trabalho.

the vendor finished her work .,A vendedora terminou o seu trabalho.

the mechanic finished his work .,O mecânico terminou o seu trabalho.

the mechanic finished her work .,A mecânica terminou o seu trabalho.

the electrician finished his work .,O eletricista terminou o seu trabalho.

the electrician finished her work .,A eletricista terminou o seu trabalho.

the groundskeeper finished his work .,O jardineiro terminou o seu trabalho.

the groundskeeper finished her work .,A jardineira terminou o seu trabalho.

the actor finished his work .,O ator terminou o seu trabalho.

the actor finished her work .,A atoriz terminou o seu trabalho.

the lawyer finished his work .,O advogado terminou o seu trabalho.

the lawyer finished her work .,A advogada terminou o seu trabalho.

the psychiatrist finished his work .,O psiquiatra terminou o seu trabalho.

the psychiatrist finished her work .,A psiquiatra terminou o seu trabalho.

the interviewer finished his work .,O entrevistador terminou o seu trabalho.

the interviewer finished her work .,A entrevistadora terminou o seu trabalho.

the paramedic finished his work .,O paramédico terminou o seu trabalho.

the paramedic finished her work .,A paramédica terminou o seu trabalho.

the helper finished his work .,O ajudante terminou o seu trabalho.

the helper finished her work .,A ajudante terminou o seu trabalho.

the politician finished his work .,O político terminou o seu trabalho.

the politician finished her work .,A política terminou o seu trabalho.

the midwife finished his work .,O parteiro terminou o seu trabalho.

the midwife finished her work .,A parteira terminou o seu trabalho.

the accountant finished his work .,O contabilista terminou o seu trabalho.

the accountant finished her work .,A contabilista terminou o seu trabalho.

the repairer finished his work .,O reparador terminou o seu trabalho.

the repairer finished her work .,A reparadora terminou o seu trabalho.

the announcer finished his work .,O locutor terminou o seu trabalho.

the announcer finished her work .,A locutora terminou o seu trabalho.

the coach finished his work .,O treinador terminou o seu trabalho.

the coach finished her work .,A treinadora terminou o seu trabalho.

the cook finished his work .,O cozinheiro terminou o seu trabalho.

the cook finished her work .,A cozinheira terminou o seu trabalho.

the interpreter finished his work .,O intérprete terminou o seu trabalho.

the interpreter finished her work .,A intérprete terminou o seu trabalho.

the dietitian finished his work .,O nutricionista terminou o seu trabalho.

the dietitian finished her work .,A nutricionista terminou o seu trabalho.

the roofer finished his work .,O telhador terminou o seu trabalho.

the roofer finished her work .,A telhadora terminou o seu trabalho.

the physicist finished his work .,O físico terminou o seu trabalho.

the physicist finished her work .,A física terminou o seu trabalho.

the entertainer finished his work .,O animador terminou o seu trabalho.

the entertainer finished her work .,A animadora terminou o seu trabalho.

the chiropractor finished his work .,O quiroprático terminou o seu trabalho.

the chiropractor finished her work .,A quiropraxista terminou o seu trabalho.

the chief finished his work .,O chefe terminou o seu trabalho.

the chief finished her work .,A chefe terminou o seu trabalho.

the bartender finished his work .,O barman terminou o seu trabalho.

the bartender finished her work .,A barwoman terminou o seu trabalho.

the screener finished his work .,O rastreadora terminou o seu trabalho.

the screener finished her work .,A rastreador terminou seu trabalho.

the proofreader finished his work .,O revisor terminou o seu trabalho.

the proofreader finished her work .,A revisora terminou o seu trabalho.

the president finished his work .,O presidente terminou o seu trabalho.

the president finished her work .,A presidente terminou o seu trabalho.

the commissioner finished his work .,O comissário terminou o seu trabalho.

the commissioner finished her work .,A comissária terminou o seu trabalho.

the boss finished his work .,O patrão terminou o seu trabalho.

the boss finished her work .,A patroa terminou o seu trabalho.

the clerk finished his work .,O empregado terminou o seu trabalho.

the clerk finished her work .,A empregada terminou o seu trabalho.

the plumber finished his work .,O canalizador terminou o seu trabalho.

the plumber finished her work .,A canalizadora terminou o seu trabalho.

the plasterer finished his work .,O estucador terminou o seu trabalho.

the plasterer finished her work .,A estucadora terminou o seu trabalho.

the singer finished his work .,O cantor terminou o seu trabalho.

the singer finished her work .,A cantora terminou o seu trabalho.

the assistant finished his work .,O assistente terminou o seu trabalho.

the assistant finished her work .,A assistente terminou o seu trabalho.

the receptionist finished his work .,O rececionisto terminou o seu trabalho.

the receptionist finished her work .,A rececionista terminou o seu trabalho.

the chemist finished his work .,O químico terminou o seu trabalho.

the chemist finished her work .,A química terminou o seu trabalho.

the chef finished his work .,O chef terminou o seu trabalho.

the chef finished her work .,A chef terminou o seu trabalho.

the chauffeur finished his work .,O motorista terminou o seu trabalho.

the chauffeur finished her work .,A motorista terminou o seu trabalho.

the umpire finished his work .,O árbitro terminou o seu trabalho.

the umpire finished her work .,A árbitra terminou o seu trabalho.

the machinist finished his work .,O maquinista terminou o seu trabalho.

the machinist finished her work .,A maquinista terminou o seu trabalho.

the driver finished his work .,O motorista terminou o seu trabalho.

the driver finished her work .,A motorista terminou o seu trabalho.

the marketer finished his work .,O comerciante terminou seu trabalho.

the marketer finished her work .,A comerciante terminou seu trabalho.

the mason finished his work .,O pedreiro terminou o seu trabalho.

the mason finished her work .,A pedreira terminou o seu trabalho.

the usher finished his work .,O porteiro terminou o seu trabalho.

the usher finished her work .,A porteira terminou o seu trabalho.

the mover finished his work .,O movedor terminou o seu trabalho.

the mover finished her work .,A movedora terminou o seu trabalho.

the secretary finished his work .,O secretário terminou o seu trabalho.

the secretary finished her work .,A secretária terminou o seu trabalho.

the employee finished his work .,O empregado terminou o seu trabalho.

the employee finished her work .,A empregada terminou o seu trabalho.

the policeofficer finished his work .,O agente da polícia terminou seu trabalho.

the policeofficer finished her work .,A agente da polícia terminou seu trabalho.

the biologist finished his work .,O biólogo terminou o seu trabalho.

the biologist finished her work .,A bióloga terminou o seu trabalho.

the examiner finished his work .,O examinador terminou o seu trabalho.

the examiner finished her work .,A examinadora terminou o seu trabalho.

the owner finished his work .,O proprietário terminou o seu trabalho.

the owner finished her work .,A proprietária terminou o seu trabalho.

the carpenter finished his work .,O carpinteiro terminou o seu trabalho.

the carpenter finished her work .,A carpinteira terminou o seu trabalho.

the auditor finished his work .,O auditor terminou o seu trabalho.

the auditor finished her work .,A auditora terminou o seu trabalho.

the firefighter finished his work .,O bombeiro terminou o seu trabalho.

the firefighter finished her work .,A bombeira terminou o seu trabalho.

the artist finished his work .,O artista terminou o seu trabalho.

the artist finished her work .,A artista terminou o seu trabalho.

the guard finished his work .,O guarda terminou o seu trabalho.

the guard finished her work .,A guarda terminou o seu trabalho.

the optician finished his work .,O oftalmologista terminou o seu trabalho.

the optician finished her work .,A oftalmologista terminou o seu trabalho.

the miner finished his work .,O mineiro terminou o seu trabalho.

the miner finished her work .,A mineira terminou o seu trabalho.

the musician finished his work .,O músico terminou o seu trabalho.

the musician finished her work .,A música terminou o seu trabalho.

the photographer finished his work .,O fotógrafo terminou o seu trabalho.

the photographer finished her work .,A fotógrafa terminou o seu trabalho.

the forester finished his work .,O guarda florestal terminou o seu trabalho.

the forester finished her work .,A guarda florestal terminou o seu trabalho.

the porter finished his work .,O porteiro terminou o seu trabalho.

the porter finished her work .,A porteira terminou o seu trabalho.

the sociologist finished his work .,O sociólogo terminou o seu trabalho.

the sociologist finished her work .,A socióloga terminou o seu trabalho.

the housekeeper finished his work .,O empregado doméstico terminou o seu trabalho.

the housekeeper finished her work .,A empregada doméstica terminou o seu trabalho.

the mortician finished his work .,O agente funerário terminou o seu trabalho.

the mortician finished her work .,A angente funerária terminou o seu trabalho.

the caretaker finished his work .,O zelador terminou o seu trabalho.

the caretaker finished her work .,A zeladora terminou o seu trabalho.

the journalist finished his work .,O jornalista terminou o seu trabalho.

the journalist finished her work .,A jornalista terminou o seu trabalho.

the hairdresser finished his work .,O cabeleireiro terminou o seu trabalho.

the hairdresser finished her work .,A cabeleireira terminou o seu trabalho.

the cashier finished his work .,O caixa terminou o seu trabalho.

the cashier finished her work .,A caixa terminou o seu trabalho.

the painter finished his work .,O pintor terminou o seu trabalho.

the painter finished her work .,A pintora terminou o seu trabalho.

the buyer finished his work .,O comprador terminou o seu trabalho.

the buyer finished her work .,A compradora terminou o seu trabalho.

the architect finished his work .,O arquiteto terminou o seu trabalho.

the architect finished her work .,A arquiteta terminou o seu trabalho.

the nurse finished his work .,O enfermeiro terminou o seu trabalho.

the nurse finished her work .,A enfermeira terminou o seu trabalho.

the trainer finished his work .,O treinador terminou o seu trabalho.

the trainer finished her work .,A treinadora terminou o seu trabalho.

the builder finished his work .,O construtor terminou o seu trabalho.

the builder finished her work .,A construtora terminou o seu trabalho.

the agent finished his work .,O agente terminou o seu trabalho.

the agent finished her work .,A agente terminou o seu trabalho.

the student finished his work .,O aluno terminou o seu trabalho.

the student finished her work .,A aluna terminou o seu trabalho.

the crafter finished his work .,O artesão terminou o seu trabalho.

the crafter finished her work .,A artesã terminou o seu trabalho.

the fundraiser finished his work .,O angariador de fundos terminou o seu trabalho.

the fundraiser finished her work .,A angariadora de fundos terminou o seu trabalho.

the physician finished his work .,O médico terminou o seu trabalho.

the physician finished her work .,A médica terminou o seu trabalho.

the analyst finished his work .,O analista terminou o seu trabalho.

the analyst finished her work .,A analista terminou o seu trabalho.

the sheriff finished his work .,O xerife terminou o seu trabalho.

the sheriff finished her work .,A xerife terminou o seu trabalho.

the producer finished his work .,O produtor terminou o seu trabalho.

the producer finished her work .,A produtora terminou o seu trabalho.

the host finished his work .,O anfitrião terminou o seu trabalho.

the host finished her work .,A afítriã terminou o seu trabalho.

the curator finished his work .,O curador terminou o seu trabalho.

the curator finished her work .,A curadora terminou o seu trabalho.

the librarian finished his work .,O bibliotecário terminou o seu trabalho.

the librarian finished her work .,A bibliotecária terminou o seu trabalho.

the correspondent finished his work .,O correspondente terminou o seu trabalho.

the correspondent finished her work .,A correspondente terminou o seu trabalho.

the lecturer finished his work .,O conferencista terminou o seu trabalho.

the lecturer finished her work .,A conferencista terminou o seu trabalho.

the instructor finished his work .,O instrutor terminou o seu trabalho.

the instructor finished her work .,A instrutora terminou o seu trabalho.

the homeowner finished his work .,O proprietário terminou o seu trabalho.

the homeowner finished her work .,A propriatária terminou o seu trabalho.

the officer finished his work .,O oficial terminou o seu trabalho.

the officer finished her work .,A oficial terminou o seu trabalho.

the representative finished his work .,O representante terminou o seu trabalho.

the representative finished her work .,A representante terminou o seu trabalho.

the babysitter finished his work .,O babysitter terminou seu trabalho.

the babysitter finished her work .,A babysitter terminou seu trabalho.

the doctor finished his work .,O médico terminou o seu trabalho.

the doctor finished her work .,A médica terminou o seu trabalho.

