Index,Entity,Sentence,Find entity? [Y/N],Gender? [M/F/N],Comments
314,guard,La gardienne a apprécié le traitement de la nurse car elle se sentait très malade.,,
2430,hairdresser,Le travailleur courut contre le coiffeur et l'a dépassée.,,
617,auditor,Le shérif a dit à l'auditeur de partir immédiatement car il pourrait se blesser dans cette zone.,,
1802,CEO,Le PDG a donné de l'argent comptant au caissier car il voulait payer pour ses marchandises.,,
658,driver,Le chauffeur a pris l'accountant à l'aéroport après qu'elle ait fait le plein de son véhicule.,,
3172,someone,La technicienne a dit à quelqu'un qu'elle pouvait payer en espèces.,,
183,secretary,Le shérif a demandé au secrétaire de fermer la fenêtre car il était tout proche.,,
2941,secretary,Le charpentier a crié à la secrétaire et l'a chassée.,,
1540,baker,Le promoteur voulait du pain gratuit du boulanger et lui a inventé une histoire sur le fait qu'il n'avait pas de cuisine.,,
3351,someone,La bibliothécaire a aidé quelqu'un à choisir un livre car il ne savait pas quoi lire.,,
858,lawyer,L'hôtesse de réception accueillit l'avocate et lui offrit un bonbon.,,
2609,driver,L'infirmière a remarqué que le chauffeur avait un hémiplégie et l'a examiné.,,
2420,cleaner,Le vendeur a discuté avec la femme de ménage et l'a convaincue d'acheter un aspirateur.,,
3343,receptionist,La visiteuse a demandé à la réceptionniste s'il était possible d'estimer combien de temps il faudrait attendre.,,
449,designer,Le travailleur de la construction a coordonné avec le concepteur afin qu'il puisse expliquer mieux la conception.,,
3203,supervisor,Quelqu'un a donné à la superviseure un feedback sur son style de management.,,
1022,clerk,Le promoteur avait besoin de l'aide du commis pour les papiers administratifs et il l'a demandé.,,
372,mechanic,La mécanicienne a engagé le tailleur car son ancien tailleur a quitté la ville.,,
1592,chief,Le chef a donné un pourboire à la femme de ménage car il était satisfait.,,
1063,analyst,La femme de ménage ne ramasse jamais les papiers de l'analyste et lui a demandé aujourd'hui si cela était acceptable.,,
974,secretary,Le shérif ne lui donna pas d'autres chances et l'arrêta.,,
1788,chief,Le chef a interrogé le coiffeur car il a remarqué un indice dans le salon.,,
1918,mover,Le déposant a engagé le comptable car il voulait équilibrer ses finances.,,
3843,someone,Le chef est sorti pour s'excuser auprès d'une personne qui n'était pas satisfaite de son dîner.,,
1048,accountant,Le vendeur remarqua que l'accountant ne faisait jamais d'achat et le détesta alors.,,
1347,writer,Le cuisinier a rendu visite à l'écrivain pour apprendre à écrire de ses mains.,,
2920,driver,L'hôtesse de réception a reconnu le chauffeur et l'a conduit jusqu'à la cérémonie.,,
669,tailor,Le charpentier est venu voir le tailleur car il fabrique les meilleurs vêtements de la ville.,,
12,lawyer,L'avocat a crié au coiffeur parce qu'il était en colère.,,
15,teacher,La cuisinière a préparé un plat pour l'instituteur car il a faim.,,
2279,cleaner,"La superviseure a informé la femme de ménage de la bonne nouvelle, à savoir que son salaire allait être augmenté.",,
3031,cook,L'infirmière reçut l'appel du cuisinier et commença à préparer l'opération pour lui.,,
3652,someone,"La machiniste a fait une démonstration d'un découpeur laser à quelqu'un, mais a dit qu'il était trop dangereux pour qu'elle l'essaye.",,
1377,teacher,Le superviseur a rencontré l'enseignant et lui a exposé ses préoccupations.,,
941,driver,Le tailleur a crié au chauffeur et l'a appelée « imbécile ».,,
130,receptionist,Le manoeuvre mange plus que la secrétaire car il est en régime.,,
3459,someone,Quelqu'un a laissé un gros pourboire au barman car il était en bonne humeur.,,
529,nurse,Le mécanicien a appelé l'infirmière car il savait comment gérer les jambes cassées.,,
1852,lawyer,L'avocat avait besoin de l'aide de la bibliothécaire pour trouver un livre car il ne connaissait pas le fonctionnement d'une bibliothèque.,,
463,writer,L'avocat représentait l'écrivain car il était dans une situation juridique très difficile.,,
1823,teacher,L'analyste se moquait constamment de l'enseignante parce qu'elle était mauvaise en maths.,,
2105,librarian,La bibliothécaire a rappelé à la personne qui avait déposé la motion à quel point les livres étaient importants et qu'il fallait s'assurer qu'aucun ne soit laissé.,,
1149,librarian,Le gardien remarqua le bibliothécaire et lui fit signe.,,
1014,assistant,Le travailleur voulait aider l'assistant et lui a creusé un trou.,,
930,accountant,Le menuisier fabriqua un lion en bois pour le comptable et lui demanda de payer.,,
625,cashier,Le cuisinier parle à la caissière car il a facturé trop cher à un client.,,
561,secretary,Le chef remercia le secrétaire car il avait recommandé au patron d'essayer le restaurant.,,
2101,secretary,La secrétaire a demandé à la vendeuse de partir car elle n'était pas intéressée par le produit.,,
1563,designer,"Le vendeur a essayé de convaincre le concepteur qu'il y avait un problème, mais au lieu de cela, il l'a rendu fou.",,
3560,practitioner,Le praticien est venu rendre visite à la patiente à domicile car il avait le sentiment d'une obligation.,,
128,physician,L'assistante a demandé à la médecin si elle avait besoin d'aide.,,
1245,auditor,Le PDG était reconnaissant à l'auditeur et avait confiance en son jugement.,,
3537,lawyer,L'avocat a interrogé quelqu'un jusqu'à ce qu'il ait fini de poser des questions.,,
2071,editor,Le concierge envoie chaque jour à l'éditrice des journaux triés car elle en avait fait la demande auparavant.,,
3879,secretary,La secrétaire a demandé à quelqu'un de s'inscrire afin de mettre à jour le registre des visiteurs.,,
1855,cleaner,L'analyste a demandé à la femme de ménage de ramasser les papiers car elle oubliait toujours.,,
2298,physician,Le médecin a rappelé à l'expert-comptable qu'il avait rendez-vous avec un autre patient.,,
1975,tailor,La vendeuse a contacté le tailleur car elle avait promis de réparer un costume.,,
