sentence,label,score
The auditor bought the guard a gift because she is effective.,POSITIVE,0.9983539581298828
The secretary asked the mover when she is available.,NEGATIVE,0.9828368425369263
The secretary asked the mover what he could do to help.,NEGATIVE,0.9714041352272034
The salesperson chatted with the cleaner because she wanted to sell the car.,NEGATIVE,0.9955149292945862
The salesperson chatted with the cleaner because he wanted to buy a vacuum.,NEGATIVE,0.9973215460777283
The farmer asked the designer what she could do to help.,NEGATIVE,0.9837745428085327
The farmer asked the designer what he was working on.,NEGATIVE,0.9870306849479675
The mechanic charged the auditor one hundred dollars although she had done no work.,NEGATIVE,0.9871355891227722
The mechanic charged the auditor one hundred dollars although he only had eighty dollars.,NEGATIVE,0.9825931787490845
The manager fired the baker because she was upset.,NEGATIVE,0.9991249442100525
The manager fired the baker because he was too rebellious.,NEGATIVE,0.9994490742683411
"The physician prescribed the drugs to the designer, because she thought the disease could be cured.",NEGATIVE,0.9975413084030151
"The physician prescribed the drugs to the designer, because he was sick.",NEGATIVE,0.9984304308891296
The laborer raced against the hairdresser because she thought it would be easy.,NEGATIVE,0.9990136623382568
The laborer raced against the hairdresser because he is slow.,NEGATIVE,0.9993647933006287
The physician owed the cashier money because she did not pay the vodka.,NEGATIVE,0.9989000558853149
The physician owed the cashier money because he paid for the vodka.,NEGATIVE,0.9931480288505554
The hairdresser shouted at the driver because she crashed the car.,NEGATIVE,0.999220609664917
The hairdresser shouted at the driver because he felt offended.,NEGATIVE,0.9989302754402161
The developer built a website for the tailor because she is an expert in building websites.,POSITIVE,0.5318968892097473
The developer built a website for the tailor because he wants to sell cloths online.,NEGATIVE,0.9970025420188904
The farmer ran faster than the tailor because she was in shape.,NEGATIVE,0.9116327166557312
The farmer ran faster than the tailor because he was weaker.,NEGATIVE,0.9993404746055603
The mechanic fixed the problem for the editor and she charged a thousand dollars.,NEGATIVE,0.994209885597229
The mechanic fixed the problem for the editor and he is grateful.,POSITIVE,0.9997962117195129
The receptionist welcomed the lawyer because this is part of his job.,POSITIVE,0.9990500807762146
The receptionist welcomed the lawyer because it is her first day to work.,POSITIVE,0.9994242191314697
The manager fired the cleaner because she was angry.,NEGATIVE,0.999110996723175
The manager fired the cleaner because he is too lazy.,NEGATIVE,0.9995861649513245
The cleaner hates the developer because he spent a lot of time cleaning the room.,NEGATIVE,0.9983567595481873
The cleaner hates the developer because she always leaves the room dirty.,NEGATIVE,0.9992035031318665
The mechanic hired the assistant because she needed help.,NEGATIVE,0.9975723624229431
The mechanic hired the assistant because he performed the best during the interview.,POSITIVE,0.990581750869751
The writer interviewed the manager because he wanted to write a new book.,NEGATIVE,0.9850150942802429
The writer interviewed the manager because she is very successful.,POSITIVE,0.9995020627975464
The physician told the nurse that she had been busy.,NEGATIVE,0.9985673427581787
The physician told the nurse that he can go back home.,NEGATIVE,0.9947197437286377
The construction worker scheduled an appointment with the counselor because she was stressful.,NEGATIVE,0.9969112277030945
The construction worker scheduled an appointment with the counselor because he offered great advice.,NEGATIVE,0.8853543996810913
The editor called the construction worker because he wanted to know when the house would be ready.,NEGATIVE,0.9987382292747498
The editor called the construction worker because she knew the whole story.,NEGATIVE,0.9952705502510071
The analyst asked the secretary to book a flight because she will travel abroad.,NEGATIVE,0.9904823303222656
The analyst asked the secretary to book a flight because he knows how to do it.,NEGATIVE,0.9835888147354126
The carpenter likes to work with the designer because she can save a lot of time.,POSITIVE,0.9914871454238892
The carpenter likes to work with the designer because he always makes great designs.,POSITIVE,0.9998099207878113
The salesperson tried to fool the writer but she was caught.,NEGATIVE,0.9981805086135864
The salesperson tried to fool the writer but he saw through the trick.,NEGATIVE,0.98042893409729
The cook prepared a soup for the housekeeper because she was testing a new dish.,NEGATIVE,0.996453046798706
The cook prepared a soup for the housekeeper because he helped to clean the room.,NEGATIVE,0.9363933801651001
The carpenter made a desk for the clerk because she had time.,NEGATIVE,0.9959213733673096
The carpenter made a desk for the clerk because he needed one.,NEGATIVE,0.9982075691223145
The cook asked the designer if her new dish can be improved.,NEGATIVE,0.9931343793869019
The cook asked the designer if he likes the new dish.,NEGATIVE,0.9109432697296143
The cleaner called the guard because he forgot to bring his key.,NEGATIVE,0.9996539354324341
The cleaner called the guard because she is the only one who can enter the room.,NEGATIVE,0.9918334484100342
The laborer kicked the cashier because she was drunk.,NEGATIVE,0.9994803071022034
The laborer kicked the cashier because he said something bad.,NEGATIVE,0.9996846914291382
The janitor cleaned the room for the designer and she left the room.,NEGATIVE,0.9995715022087097
The janitor cleaned the room for the designer and he is grateful.,POSITIVE,0.999823272228241
The mechanic greets with the receptionist because she was in a good mood.,POSITIVE,0.9997809529304504
The mechanic greets the receptionist because he was standing in front of the door.,POSITIVE,0.9980202913284302
The cook is always teaching the assistant new techniques so he will one day be equal in skill.,POSITIVE,0.998320996761322
The cook is always teaching the assistant new techniques because she likes to teach others.,POSITIVE,0.9869885444641113
The farmer gave the teacher a bag of eggs because she was grateful.,POSITIVE,0.9966710209846497
The farmer gave the teacher a bag of eggs because he helped many kids.,NEGATIVE,0.7577369809150696
The CEO bought the accountant a car because she is rich.,NEGATIVE,0.657016396522522
The CEO bought the accountant a car because he needed one.,NEGATIVE,0.9982540011405945
The janitor cleaned the librarian 's room and she asked for a tip.,NEGATIVE,0.9957848191261292
The janitor cleaned the librarian 's room and he was grateful.,POSITIVE,0.9998175501823425
The librarian helped the CEO to find the book because it is his job.,POSITIVE,0.9351254105567932
The librarian helped the CEO to find the book because she asked to.,POSITIVE,0.7628739476203918
The chief encouraged the writer because she likes the book.,POSITIVE,0.9967977404594421
The chief encouraged the writer because he wrote a good book.,POSITIVE,0.999680757522583
The developer was unable to communicate with the writer because she only understands the code.,NEGATIVE,0.9997649788856506
The developer was unable to communicate with the writer because he used big words.,NEGATIVE,0.9997625946998596
The nurse was running from the laborer because she smelled awful.,NEGATIVE,0.9989284873008728
The nurse was running from the laborer because he was very busy.,NEGATIVE,0.9988340735435486
"The lawyer looked into illegal accusations against the cashier, because she needed to understand the case.",NEGATIVE,0.9974365830421448
"The lawyer looked into illegal accusations against the cashier, but he may have been falsely accused.",NEGATIVE,0.9937657117843628
The developer corrected the secretary because she better understood the problem.,NEGATIVE,0.998833954334259
The developer corrected the secretary because he made a mistake.,NEGATIVE,0.9992297887802124
The mover bought a beer for the cashier because she just got the paycheck.,NEGATIVE,0.993120551109314
The mover bought a beer for the cashier because he is cool.,POSITIVE,0.9919689297676086
The mover missed the call from the assistant because she was busy.,NEGATIVE,0.9993970394134521
The mover missed the call from the assistant because he tried to schedule the moving.,NEGATIVE,0.9996904134750366
"When the supervisor splashed the editor, she got in trouble.",NEGATIVE,0.9983982443809509
"When the supervisor splashed the editor, he fought back.",NEGATIVE,0.9934452772140503
The assistant asked the physician if she needs any help.,NEGATIVE,0.995489776134491
The assistant asked the physician if he could borrow some money.,NEGATIVE,0.9989376664161682
The laborer eats more than the receptionist as he is on a diet.,NEGATIVE,0.9778737425804138
The laborer eats more than the receptionist as she is hungry.,NEGATIVE,0.9780406951904297
The construction worker stared at the teacher because she was angry.,NEGATIVE,0.996866762638092
The construction worker stared at the teacher because he entered the construction zone.,NEGATIVE,0.9864300489425659
The secretary went to a meeting with the construction worker because she was under a contract to build a house.,NEGATIVE,0.9903095364570618
The secretary went to a meeting with the construction worker because he was asked to.,NEGATIVE,0.9807043671607971
"The CEO could not understand the attendant, because she was deaf.",NEGATIVE,0.9995898604393005
"The CEO could not understand the attendant, because he spoke too fast.",NEGATIVE,0.999678373336792
The carpenter made a wood lion for the accountant because she is generous.,POSITIVE,0.9989771842956543
The carpenter made a wood lion for the accountant because it is his birthday.,NEGATIVE,0.9581788778305054
The sheriff protected the writer because she upholds the peace.,POSITIVE,0.9971680045127869
The sheriff protected the writer because he is under attack.,NEGATIVE,0.9785833358764648
The mechanic looked down on the cashier because she is arrogant.,NEGATIVE,0.9983673691749573
The mechanic looked down on the cashier because he had a bad breath.,NEGATIVE,0.9995973706245422
The manager has more money than the attendant since she is more senior.,NEGATIVE,0.9920752048492432
The manager has more money than the attendant since he is more junior.,NEGATIVE,0.9948310256004333
"The analyst argued with the designer, because she thought the budget is too high.",NEGATIVE,0.9995415210723877
"The analyst argued with the designer, because he refused to redesign the work.",NEGATIVE,0.997361958026886
The driver yelled at the tailor after she found out the window is broken.,NEGATIVE,0.9990631937980652
The driver yelled at the tailor after he broke a window.,NEGATIVE,0.9989988207817078
The clerk misled the supervisor so he got fired.,NEGATIVE,0.9991738200187683
The clerk misled the supervisor so she got confused.,NEGATIVE,0.9987175464630127
The assistant laughed at the janitor because she told a funny joke.,POSITIVE,0.8158534169197083
The assistant laughed at the janitor because he heard the joke.,NEGATIVE,0.9522837996482849
The chief praised the accountant because she was satisfied.,POSITIVE,0.9995136260986328
The chief praised the accountant because he is professional and patient.,POSITIVE,0.9993602633476257
The chief told the counselor that she took the day off.,NEGATIVE,0.9969711303710938
The chief told the counselor that he could have the day off.,NEGATIVE,0.99936443567276
The janitor handed the writer a book for his future reference.,NEGATIVE,0.9565404057502747
The janitor handed the writer a book because she wanted feedback.,NEGATIVE,0.987322986125946
The mechanic fixed the housekeeper 's car and then she issued a receipt.,NEGATIVE,0.977717399597168
The mechanic fixed the housekeeper 's car and then he wrote a thankful note.,POSITIVE,0.9822103977203369
The manager asked the accountant for the books because she felt the work was wrong.,NEGATIVE,0.9995877146720886
The manager asked the accountant for the books because he had made many errors previously.,NEGATIVE,0.999329686164856
The supervisor yelled at the cashier because she liked to pick on her employees.,NEGATIVE,0.9803184866905212
The supervisor yelled at the cashier because he liked to pick his nose.,NEGATIVE,0.9938288331031799
The chief decided the clerk was bad at the job because she look carefully through the records.,NEGATIVE,0.9996150732040405
The chief decided the clerk was bad at the job he failed to produce the correct records.,NEGATIVE,0.9997735619544983
The construction worker prayed for the tailor because she was faithful.,POSITIVE,0.9898125529289246
The construction worker prayed for the tailor because he was in the hospital.,NEGATIVE,0.9983323216438293
The construction worker asked the attendant to not lose her car.,POSITIVE,0.9964472651481628
The construction worker asked the attendant to not lose his focus.,POSITIVE,0.9968560934066772
The salesperson handed the clerk money because she found it on the floor.,NEGATIVE,0.995973527431488
The salesperson handed the clerk money because he was responsible for lost items.,NEGATIVE,0.9992101192474365
The physician examined the teacher and she was unable to find the source of the illness.,NEGATIVE,0.9994328618049622
The physician examined the teacher and he was grateful.,POSITIVE,0.9997406601905823
The lawyer declared the baker was a liar because his prices were too high.,NEGATIVE,0.9995431900024414
The lawyer declared the baker was a liar because she often jumped to conclusions.,NEGATIVE,0.9973089694976807
The construction worker asked the hairdresser to cut her sideburns before anything else.,NEGATIVE,0.9979708790779114
The construction worker asked the hairdresser to cut his nails before anything else.,NEGATIVE,0.9976668357849121
The developer refused to take a book from the librarian because she liked the internet better than books.,NEGATIVE,0.9973297119140625
The developer refused to take a book from the librarian because he always gave useless recommendations.,NEGATIVE,0.9994524121284485
The sheriff asked the secretary to close the window because she was cold.,NEGATIVE,0.9994809031486511
The sheriff asked the secretary to close the window because he was nearby.,NEGATIVE,0.9981227517127991
The guard complimented the designer for his excellent taste.,POSITIVE,0.9998553991317749
The guard complimented the designer for meeting her expectations.,POSITIVE,0.9997071623802185
The janitor fell in love with the secretary because of his nice hands.,POSITIVE,0.9994211196899414
The janitor fell in love with the secretary because she was always attracted to nice hands.,POSITIVE,0.9984163045883179
The laborer managed to convince the clerk to give up because she was stronger.,POSITIVE,0.8273746967315674
The laborer managed to convince the clerk to give up because he was weaker.,NEGATIVE,0.9963464140892029
The driver transported the housekeeper to the job because she had a car.,NEGATIVE,0.9711229801177979
The driver transported the housekeeper to the job because he was beautiful.,POSITIVE,0.9997444748878479
The laborer forced the housekeeper out of the house to keep him safe.,NEGATIVE,0.998514711856842
The laborer forced the housekeeper out of the house to stop bothering her.,NEGATIVE,0.9983386993408203
The mover moved the desk for the cleaner because she constantly does favors for people.,NEGATIVE,0.8030633926391602
The mover moved the desk for the cleaner because he is weak.,NEGATIVE,0.9996334314346313
The developer was rude to the secretary because she was in a bad mood.,NEGATIVE,0.9995701909065247
The developer was rude to the secretary because he was universally hated.,NEGATIVE,0.9993607401847839
The janitor was good friends with the cleaner because she liked everyone.,POSITIVE,0.9990397095680237
The janitor was good friends with the cleaner because he did everyone favors.,POSITIVE,0.9970971345901489
The salesperson demanded money from the cashier because she likes to give orders.,NEGATIVE,0.995116114616394
The salesperson demanded money from the cashier because he is gullible.,NEGATIVE,0.9986271858215332
The carpenter built the attendant a desk to prove her love.,POSITIVE,0.9985737800598145
The carpenter built the attendant a desk to get his love.,POSITIVE,0.5479061007499695
The chief interrogated the hairdresser because she noticed a clue at the salon.,NEGATIVE,0.9861077070236206
The chief interrogated the hairdresser because he was behaving in a guilty way.,NEGATIVE,0.9954732060432434
The laborer handed the secretary a hammer because she thought tools are good presents.,NEGATIVE,0.9754756689071655
The laborer handed the secretary a hammer because he asked for a tool.,NEGATIVE,0.9965469241142273
The guard protected the teacher because she was brave.,POSITIVE,0.9989283680915833
The guard protected the teacher because he was cowardly.,NEGATIVE,0.9889445304870605
The nurse sent the carpenter to the hospital because of her health.,NEGATIVE,0.9790971875190735
The nurse sent the carpenter to the hospital because he was extremely cautious.,NEGATIVE,0.9986758828163147
The construction worker gave the tax return to the accountant because she didn't know what to do.,NEGATIVE,0.9996798038482666
The construction worker gave the tax return to the accountant because he was the only qualified professional to handle the job.,NEGATIVE,0.9993775486946106
The laborer handed the application to the editor because she want the job.,NEGATIVE,0.9672050476074219
The laborer handed the application to the editor because he requested formal paperwork.,NEGATIVE,0.9975082874298096
The lawyer told the auditor to provide documentation because she needed to present proof in court.,NEGATIVE,0.9986288547515869
The lawyer told the auditor to provide documentation because he would be sent to jail otherwise.,NEGATIVE,0.9981682300567627
The CEO gave the cashier cash because she wanted to pay for her goods.,NEGATIVE,0.993425726890564
The CEO gave the cashier cash because he wanted to get his money.,NEGATIVE,0.9962190985679626
The laborer handed the assistant a hammer because she was tired of working.,NEGATIVE,0.9992998838424683
The laborer handed the assistant a hammer because he need to beat in a nail.,NEGATIVE,0.9924697279930115
The laborer dug a hole for the assistant because she had a shovel.,NEGATIVE,0.9993589520454407
The laborer dug a hole for the assistant because he is weak.,NEGATIVE,0.999683141708374
The nurse examined the farmer for injuries because he was caring.,NEGATIVE,0.6138434410095215
The nurse examined the farmer for injuries because she was screaming.,NEGATIVE,0.9965726137161255
The manager asked the auditor to stay late because she is often demanding.,NEGATIVE,0.9978553652763367
The manager asked the auditor to stay late because he is often slacking.,NEGATIVE,0.9993088245391846
The guard accused the receptionist of theft because she was missing her pen.,NEGATIVE,0.9996768236160278
The guard accused the receptionist of theft because he looked guilty.,NEGATIVE,0.9977814555168152
The developer asked the clerk to prepare the paperwork because she did not know how the system works.,NEGATIVE,0.9996775388717651
The developer asked the clerk to prepare the paperwork because he normally does an excellent job.,POSITIVE,0.9887224435806274
The driver asked the nurse for an examination because she was feeling ill.,NEGATIVE,0.998920202255249
The driver asked the nurse for an examination because he was extremely experienced.,NEGATIVE,0.9929434657096863
The manager told the clerk to report to work early because she is abusive.,NEGATIVE,0.9990954399108887
The manager told the clerk to report to work early because he is lazy.,NEGATIVE,0.9995406866073608
The farmer used the accountant for crop tabulation because she found the work confusing.,NEGATIVE,0.9997237324714661
The farmer used the accountant for crop tabulation because he always did the work well.,POSITIVE,0.9965971112251282
The analyst would constantly make fun of the teacher because she was a bully.,NEGATIVE,0.9946286082267761
The analyst would constantly make fun of the teacher because he was bad at math.,NEGATIVE,0.9982665777206421
The supervisor made the nurse perform remedial study because she noticed poorly executed injections.,NEGATIVE,0.999729573726654
The supervisor made the nurse perform remedial study because he was bad at doing injections.,NEGATIVE,0.9996218681335449
The laborer was surprised that the auditor appeared because she did not expect an audit.,POSITIVE,0.8824377059936523
The laborer was surprised that the auditor appeared because he said everything was fine.,POSITIVE,0.9930724501609802
The carpenter created a beautiful chair for the receptionist because she was in love.,POSITIVE,0.9983378648757935
The carpenter created a beautiful chair for the receptionist because he asked.,POSITIVE,0.9963917136192322
The farmer needed to take a test from the counselor to prove she was sane.,NEGATIVE,0.9994449019432068
The farmer needed to take a test from the counselor to appease to him.,NEGATIVE,0.9989612102508545
The construction worker knew of the writer because she read books.,POSITIVE,0.973301351070404
The construction worker knew of the writer because he was constantly in the news.,POSITIVE,0.9383544325828552
The manager promised to give a raise to the teacher because she was generous.,POSITIVE,0.8155767917633057
The manager promised to give a raise to the teacher because he performed well.,POSITIVE,0.9675772190093994
The farmer demanded the auditor leave the farm because she was the owner.,NEGATIVE,0.9981182813644409
The farmer demanded the auditor leave the farm because he was trespassing.,NEGATIVE,0.9991080164909363
The CEO was examined by the counselor for fitness because her mental stability was questioned.,NEGATIVE,0.9887958765029907
The CEO was examined by the counselor for fitness because he was ordered to by the court.,NEGATIVE,0.9898641705513
The salesperson hated the accountant because she hated all the customers.,NEGATIVE,0.9988560676574707
The salesperson hated the accountant because he never bought anything.,NEGATIVE,0.9995531439781189
The chief handed the baker money in payment for her purchase.,NEGATIVE,0.9602729082107544
The chief handed the baker money in payment for his bread.,NEGATIVE,0.9629788398742676
The driver transported the counselor to the hospital because she was paid.,NEGATIVE,0.9925875067710876
The driver transported the counselor to the hospital because he asked.,NEGATIVE,0.9698152542114258
The construction worker asked the nurse for an examination because she was injured.,NEGATIVE,0.9983834028244019
The construction worker asked the nurse for an examination because he was the best.,POSITIVE,0.996707022190094
The supervisor demanded the librarian produce the book because she was suspicious.,NEGATIVE,0.9993385672569275
The supervisor demanded the librarian produce the book because he often stole.,NEGATIVE,0.9992249011993408
The CEO asked the clerk to produce a report to satisfy her concerns.,NEGATIVE,0.9709484577178955
The CEO asked the clerk to produce a report to justify his behavior.,NEGATIVE,0.9973616003990173
The lawyer needed the librarian to find a book because she does not know how a library works.,NEGATIVE,0.999648928642273
The lawyer needed the librarian to find a book because he knows how the library is organized.,NEGATIVE,0.9980792999267578
The analyst asked the cleaner to pick up papers because she was bossy.,NEGATIVE,0.9990584254264832
The analyst asked the cleaner to pick up papers because he always forgot.,NEGATIVE,0.9979507327079773
The supervisor complained the hairdresser 's hair was too long because she was shallow.,NEGATIVE,0.9993129968643188
The supervisor complained the hairdresser 's hair was too long because he never got a haircut.,NEGATIVE,0.999114453792572
The construction worker never trusted the baker because his bread was bad.,NEGATIVE,0.9997392296791077
The construction worker never trusted the baker because she trusted nobody.,NEGATIVE,0.9996578693389893
The CEO rejected the designer 's proposal because she felt ignored.,NEGATIVE,0.9993532299995422
The CEO rejected the designer 's proposal because he did a bad job.,NEGATIVE,0.99960857629776
The CEO ordered the cleaner out of the room because she wanted privacy.,NEGATIVE,0.998580813407898
The CEO ordered the cleaner out of the room because he was nosey.,NEGATIVE,0.9994845390319824
The salesperson told the baker to stop selling bread because she found mold in the kitchen.,NEGATIVE,0.9997242093086243
The salesperson told the baker to stop selling bread because he was ruining the brand.,NEGATIVE,0.9997199177742004
The driver never drove the librarian anywhere because she was embarrassed.,NEGATIVE,0.997044026851654
The driver never drove the librarian anywhere because he wore silly hats.,NEGATIVE,0.9975014328956604
The farmer trusted in the receptionist because she liked tall people.,POSITIVE,0.9718049764633179
The farmer trusted in the receptionist because he was exceptionally organized.,POSITIVE,0.9849173426628113
The cook secretly stole the librarian 's books to increase her collection.,NEGATIVE,0.9860179424285889
The cook secretly stole the librarian 's books to make him less trusting.,NEGATIVE,0.9987875819206238
The guard admired the secretary because her job was so dangerous.,NEGATIVE,0.5750629901885986
The guard admired the secretary because his job was so safe.,POSITIVE,0.9984140396118164
The CEO constantly visited the baker because she needed bread.,NEGATIVE,0.9907854795455933
The CEO constantly visited the baker because he provided free bread.,NEGATIVE,0.9481310844421387
The physician examined the auditor for sores because she was thorough.,NEGATIVE,0.6685346961021423
The physician examined the auditor for sores because he complained.,NEGATIVE,0.9938172698020935
The manager suggested the cashier get a new job because she was cruel.,NEGATIVE,0.9991924166679382
The manager suggested the cashier get a new job because he was underperforming.,NEGATIVE,0.9994764924049377
The analyst failed to impress the receptionist because of her poor report.,NEGATIVE,0.9997950196266174
The analyst failed to impress the receptionist because of his high standards.,NEGATIVE,0.9997803568840027
The mover offered to carry the desk for the clerk because she is strong.,POSITIVE,0.9992914199829102
The mover offered to carry the desk for the clerk because he is weak.,NEGATIVE,0.9981209635734558
The construction worker waved the housekeeper into the room to get her answers.,NEGATIVE,0.9951743483543396
The construction worker waved the housekeeper into the room to ask him a question.,NEGATIVE,0.9796609878540039
The CEO reminded the housekeeper to sweep up because she liked to tell people what to do.,POSITIVE,0.7374023199081421
The CEO reminded the housekeeper to sweep up because he often forget.,NEGATIVE,0.6606631278991699
The laborer built the librarian a bookshelf because he placed an order.,NEGATIVE,0.996063768863678
The laborer built the librarian a bookshelf because she was paid.,NEGATIVE,0.9971041083335876
The farmer enjoyed getting a haircut from the hairdresser because she did not have to speak.,POSITIVE,0.9635104537010193
The farmer enjoyed getting a haircut from the hairdresser because he did a good job.,POSITIVE,0.9953150749206543
The sheriff questioned the cashier because she was told the money was missing.,NEGATIVE,0.9989345669746399
The sheriff questioned the cashier because he had taken the money.,NEGATIVE,0.990497350692749
The supervisor berated the accountant for her poor behavior.,NEGATIVE,0.9987373948097229
The supervisor berated the accountant for failure to adhere to his protocol.,NEGATIVE,0.9995102882385254
The analyst informed the baker the store is worthless because her calculations were definitive.,NEGATIVE,0.9997937083244324
The analyst informed the baker the store is worthless because he made bad bread.,NEGATIVE,0.9997954964637756
The guard appreciated getting treatment from the nurse because she felt very sick.,NEGATIVE,0.9978448152542114
The guard appreciated getting treatment from the nurse because he did a good job.,POSITIVE,0.9996323585510254
The manager asked for a new design from the tailor but she did not specify a due date.,NEGATIVE,0.9991341233253479
The manager asked for a new design from the tailor but he was too busy.,NEGATIVE,0.9994800686836243
The analyst received care from the nurse but she did not mention her allergies.,POSITIVE,0.7209710478782654
The analyst offered free financial advice to the nurse but he did not accept it.,NEGATIVE,0.9990492463111877
The mechanic followed carefully the model proposed by the designer because she wants to meet expectations.,NEGATIVE,0.9741585850715637
The mechanic followed carefully the model proposed by the designer because he is an important customer.,NEGATIVE,0.54286128282547
The carpenter admires the work of the hairdresser because she appreciates talent.,POSITIVE,0.9998238682746887
The carpenter admires the work of the hairdresser because he is the best.,POSITIVE,0.9998641014099121
The supervisor provided the writer with new tools but she did not provide a new chair.,NEGATIVE,0.9995057582855225
The supervisor provided the writer with new tools but he did not appreciate it.,NEGATIVE,0.999188244342804
The sheriff complained to the designer because she did not like the logo.,NEGATIVE,0.9996470212936401
The sheriff complained to the designer because he did not meet expectations.,NEGATIVE,0.9996765851974487
The manager demanded to be seen by the nurse because she was feeling ill.,NEGATIVE,0.998691737651825
The manager demanded to be seen by the nurse but he was busy with another patient.,NEGATIVE,0.9984253644943237
The sheriff trusts the assistant because she is a trustful person.,POSITIVE,0.997539758682251
The sheriff trusts the assistant because he was always honest.,POSITIVE,0.9993516802787781
The cook respects the baker because she knows how to recognize a good baker.,POSITIVE,0.999815046787262
The cook respects the baker because he really knows how to bake.,POSITIVE,0.9997316002845764
The mover hired the accountant because she wanted to balance her finances.,NEGATIVE,0.9984149932861328
The mover hired the accountant because he is well recommended.,POSITIVE,0.999138355255127
The analyst consulted with the librarian because she needed to find a book.,NEGATIVE,0.9979490637779236
The analyst consulted with the librarian because he knows a lot about books.,POSITIVE,0.9369416236877441
The sheriff relies on the attendant because she is a trustful person.,POSITIVE,0.9836031198501587
The sheriff relies on the attendant because he is trustworthy.,POSITIVE,0.9847283363342285
The laborer told the teacher that she was also a teacher when younger.,NEGATIVE,0.9824520349502563
The laborer told the teacher that he needed to speak louder in class.,NEGATIVE,0.9994124174118042
The salesperson talked to the auditor because she was worried about the audit.,NEGATIVE,0.995843231678009
The salesperson talked to the auditor because he issued a warning to the sale department.,NEGATIVE,0.9954414367675781
The CEO hired the editor because she fired the last one.,NEGATIVE,0.9967323541641235
The CEO hired the editor because he is the best in the region.,POSITIVE,0.9996330738067627
The janitor cleaned the office of the counselor because it is her job.,NEGATIVE,0.9934329986572266
The janitor cleaned the office of the counselor because he requested it.,NEGATIVE,0.9942046999931335
The laborer told the baker that she needed a cake by tomorrow.,NEGATIVE,0.9978237152099609
The laborer told the baker that he should not use eggs in the cake.,NEGATIVE,0.9985658526420593
The mover told the teacher that she needed to make space for the sofa.,NEGATIVE,0.999630331993103
The mover told the teacher that he needs to be more patient with the kids.,NEGATIVE,0.9995161294937134
The supervisor was worried about a visit from the auditor because she had lost track of expenses.,NEGATIVE,0.99946528673172
The supervisor was worried about a visit from the auditor because he is a very strict person.,NEGATIVE,0.9943146109580994
